#	Temperatur 1 (C)	Temperatur 2 (°C)	Temperatur 3 (°C)	Temperatur 4 #(°C)	Temperatur 5 (°C)	Temperatur 6 (°C)	Temperatur 7 (°C)	Temperatur 8 #(°C)
80	40.99	43.37	42.80	39.22	43.93	45.47	40.02	30.55
81	41.10	43.48	42.89	39.31	44.03	45.56	40.11	30.64
82	41.20	43.57	42.97	39.40	44.12	45.66	40.19	30.73
83	41.31	43.67	43.07	39.50	44.22	45.75	40.28	30.82
84	41.42	43.76	43.16	39.58	44.31	45.84	40.37	30.90
85	41.52	43.87	43.23	39.66	44.40	45.93	40.45	30.99
86	41.62	43.96	43.33	39.76	44.49	46.01	40.53	31.07
87	41.72	44.06	43.42	39.85	44.59	46.11	40.62	31.16
88	41.82	44.16	43.51	39.94	44.68	46.20	40.71	31.25
89	41.92	44.25	43.59	40.02	44.77	46.29	40.80	31.33
90	42.01	44.34	43.68	40.11	44.86	46.38	40.88	31.41
91	42.11	44.43	43.76	40.20	44.95	46.47	40.97	31.50
92	42.21	44.52	43.85	40.28	45.04	46.56	41.05	31.58
93	42.31	44.61	43.93	40.36	45.13	46.65	41.14	31.67
94	42.40	44.70	44.01	40.44	45.21	46.73	41.22	31.76
95	42.49	44.79	44.09	40.52	45.30	46.82	41.31	31.84
96	42.58	44.89	44.17	40.61	45.39	46.90	41.39	31.92
97	42.67	44.97	44.26	40.69	45.47	46.99	41.47	32.00
98	42.76	45.06	44.34	40.77	45.55	47.07	41.56	32.08
99	42.85	45.14	44.41	40.85	45.64	47.15	41.64	32.16
100	42.94	45.22	44.49	40.93	45.70	47.22	41.72	32.24
101	43.03	45.31	44.57	41.01	45.79	47.30	41.80	32.32
102	43.12	45.40	44.65	41.08	45.87	47.38	41.88	32.41
103	43.20	45.48	44.73	41.16	45.96	47.47	41.96	32.49
104	43.29	45.56	44.81	41.23	46.04	47.55	42.04	32.57
105	43.37	45.64	44.89	41.31	46.12	47.63	42.12	32.64
106	43.45	45.73	44.96	41.38	46.20	47.72	42.20	32.72
107	43.54	45.81	45.04	41.46	46.28	47.79	42.28	32.79
108	43.62	45.89	45.11	41.54	46.35	47.87	42.36	32.87
109	43.70	45.97	45.19	41.61	46.44	47.95	42.43	32.94
110	43.78	46.05	45.26	41.69	46.52	48.02	42.51	33.03
111	43.87	46.13	45.34	41.76	46.60	48.10	42.59	33.10
112	43.95	46.20	45.41	41.83	46.67	48.17	42.67	33.18
113	44.03	46.29	45.49	41.91	46.75	48.25	42.74	33.25
114	44.11	46.36	45.56	41.98	46.82	48.33	42.81	33.33
115	44.19	46.44	45.63	42.05	46.89	48.40	42.89	33.41
116	44.27	46.52	45.70	42.12	46.97	48.47	42.97	33.48
117	44.35	46.60	45.77	42.20	47.04	48.55	43.04	33.55
118	44.43	46.67	45.84	42.27	47.12	48.62	43.11	33.62
119	44.51	46.74	45.91	42.34	47.19	48.69	43.19	33.70
120	44.58	46.82	45.99	42.41	47.27	48.76	43.26	33.77
121	44.66	46.89	46.06	42.47	47.34	48.83	43.33	33.84
122	44.73	46.96	46.12	42.54	47.41	48.91	43.40	33.92
123	44.81	47.03	46.19	42.61	47.48	48.97	43.47	33.99
124	44.88	47.11	46.26	42.67	47.55	49.04	43.54	34.05
125	44.95	47.18	46.33	42.74	47.62	49.12	43.61	34.13
126	45.03	47.25	46.40	42.81	47.69	49.18	43.68	34.19
127	45.10	47.33	46.46	42.88	47.76	49.25	43.75	34.27
128	45.17	47.39	46.53	42.94	47.82	49.32	43.82	34.33
129	45.24	47.47	46.60	43.01	47.89	49.39	43.89	34.40
130	45.31	47.54	46.66	43.07	47.96	49.46	43.96	34.47
131	45.39	47.60	46.72	43.14	48.03	49.53	44.03	34.54
132	45.45	47.67	46.79	43.20	48.10	49.59	44.09	34.60
133	45.53	47.74	46.85	43.26	48.16	49.65	44.16	34.67
134	45.60	47.81	46.92	43.32	48.22	49.72	44.23	34.74
135	45.66	47.88	46.98	43.39	48.29	49.78	44.29	34.80
136	45.73	47.94	47.04	43.45	48.34	49.84	44.35	34.87
137	45.79	48.00	47.09	43.50	48.40	49.89	44.40	34.93
138	45.86	48.07	47.16	43.56	48.47	49.96	44.48	35.00
139	45.92	48.13	47.22	43.62	48.52	50.02	44.53	35.06
140	45.98	48.20	47.28	43.68	48.59	50.09	44.60	35.13
141	46.05	48.26	47.34	43.74	48.65	50.15	44.67	35.19
142	46.11	48.32	47.40	43.80	48.72	50.21	44.74	35.26
143	46.17	48.39	47.46	43.86	48.78	50.27	44.80	35.32
144	46.24	48.45	47.52	43.91	48.84	50.34	44.86	35.38
145	46.30	48.51	47.58	43.97	48.91	50.40	44.92	35.44
146	46.37	48.57	47.64	44.03	48.97	50.46	44.98	35.51
147	46.43	48.63	47.70	44.09	49.03	50.53	45.05	35.57
148	46.49	48.69	47.76	44.15	49.09	50.58	45.11	35.63
